
👉公      告,#genre#
关注抖音|🇨🇳,https://vd2.bdstatic.com/mda-mjshcpd847mhnjgj/sc/cae_h264/1635337200637124885/mda-mjshcpd847mhnjgj.mp4
波 娃 子|🇨🇳,https://vdse.bdstatic.com//01b1f78bb5b009d36ce3f5051e7383c1.mp4
yb1510812665o,https://vd2.bdstatic.com/mda-mhhf5mr00yyhpfjs/1080p/cae_h264/1629284581057661229/mda-mhhf5mr00yyhpfjs.mp4
--------|🇨🇳,https://vd3.bdstatic.com/mda-pcr6b5gg3yu5erqt/1080p/cae_h264/1679806456158648967/mda-pcr6b5gg3yu5erqt.mp4
所有频道|🇨🇳,https://vd2.bdstatic.com/mda-mhig1c3sw223mx8p/1080p/cae_h264/1629380139191731149/mda-mhig1c3sw223mx8p.mp4
均为免费|🇨🇳,https://vd4.bdstatic.com/mda-mhqekuf2r91v08dt/1080p/cae_h264/1629888246186602728/mda-mhqekuf2r91v08dt.mp4

星光电影|🇨🇳,http://live.dxms.top/dwy/xgzht.php
第一卫视|🇨🇳,http://play2.one-tv.com/live/onetv.m3u8
重温经典|🇨🇳,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典|🇨🇳,http://live.dxms.top/dwy/cwjd.php
重温经典|🇨🇳,http://mtw.so/5NPX0U
重温经典|🇨🇳,http://43.141.130.51/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
天映经典|🇨🇳,http://171.108.239.80:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0

央视频道·IPV6,#genre#

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
